name,time,stars,reviews
Alex Winch,2 years ago, 5 stars ,"Great coffee  and friendly, relaxed staff. If you want a total indulgence,  go for the cranberry muffins."
Tony Bitzionis,2 years ago, 5 stars ,
Raoul R.V.,2 years ago, 5 stars ,Great freshly roasted coffee beans.
Kolaborator Spitz,2 years ago, 5 stars ,
Anne Gingras,2 years ago, 5 stars ,
Stephen Lussier (ioweyouacoke),2 years ago, 4 stars ,
Pem Vivian,2 years ago, 5 stars ,
Effie Panagiotopoulos,2 years ago, 5 stars ,Great coffee and great atmosphere! Baristas very friendly and knowledgeable @
Ramon Martinez,3 years ago, 5 stars ,"Great espresso, kind staff"
aa aa,3 years ago, 5 stars ,Service was friendly and Lucas was very amicable. Coffee was great and staff is knowledgeable of products
John Armstrong,3 years ago, 5 stars ,"Quiet, amiable staff"
Matt West,3 years ago, 5 stars ,"Great coffee, chill vibe"
Sean Maclellan,3 years ago, 5 stars ,
Joyce Yan,3 years ago, 1 star ,
Rob Mandel,3 years ago, 4 stars ,"Expensive, but good coffee. Nice decor"
Ruan Marcus,3 years ago, 5 stars ,Friendly service and really enjoyed the hot-chocolate and butter-tarts
Dennis Mantin,3 years ago, 5 stars ,George is as fab as ever!
Chris Adams,3 years ago, 4 stars ,
B1 Laxson,3 years ago, 5 stars ,Its a cozy dive in the wonderful sort of way.
Tanya Stander,3 years ago, 5 stars ,I have been drinking El Zipa coffee from the Remarkable Bean for about 4 years now and I can honestly say this is still my favourite coffee in Toronto (and beyond)! I’ve never had a bad bag of coffee and everyone who drinks it comments how incredibly delicious it is. We just use it in a pour over and it works every time. Delicious! What a joy it is to receive a fresh bag of this coffee delivered to my door every week!!! Keep up the beautiful roast guys!!!
Kameron -,3 years ago, 5 stars ,Good food options and coffee is consistent. Need a ramp of stroller but prob not possible
Zaid Gulma,3 years ago, 5 stars ,
Peggy Maki,3 years ago, 5 stars ,enjoyable environment.
Sheena Yap Chan,3 years ago, 4 stars ,A cute coffee shop in Leslieville with some yummy food such as their vegan sausage roll.  Friendly staff and price is reasonable.
Realistyazar “Cansu Yildiz Heo”,3 years ago, 5 stars ,
Dave Hersh,3 years ago, 4 stars ,Good coffee....mediocre comedy
Fuad Fikret,3 years ago, 5 stars ,"Service was perfect.I asked from the guy what was his favourtie,he suggest us Carrot Cake,and yes he was right!!Thank you guys"
Audrey L,3 years ago, 4 stars ,
Tasha Lafortune,3 years ago, 5 stars ,
Faizal Garasia,3 years ago, 5 stars ,
Fanny Tran,3 years ago, 1 star ,I don't thing me and my husband went here.
M K,3 years ago, 3 stars ,
Morgan Dobroshinsky,3 years ago, 4 stars ,"Stopped by for the first time yesterday morning since my power was out at home and got myself a coffee and one of the mini quiches. The coffee was great, and the quiche would have been if it wasnt still cold in the centre. The place is really cute but I found it odd that there was no background music going?!"
Ann-Michele Potvin,3 years ago, 5 stars ,
Being Mao,3 years ago, 3 stars ,
Ian Briggs,3 years ago, 5 stars ,
CA H,3 years ago, 4 stars ,Great coffee and delicious pastries. Lovely staff. Temps inside the cafe can get very hot due to oven.
Mark Aberdeen,3 years ago, 3 stars ,
Alexander Palkovits,3 years ago, 5 stars ,
Robbin Hudson,3 years ago, 5 stars ,"Great coffee selection, roasted on site, friendly service. Cozy laid back comfortable  with super treats."
Nancy Macedo,3 years ago, 3 stars ,"Parking was tough to visit the Remarkable Bean. Our decision to still make attempts to stop and enjoy the coffee were based on other reviews and how highly other thought about the place. I found it really average. The place is cute and you can find seating but its awkward at times. I think the owner needs to review seating arrangements - there are definately ways to maximize space without compromising a cozy atmosphere. The coffee was good but was average. I got the rocket fuel coffee and a oatmeal cookie - just average and nothing else to write about. My guess is that its a good  neighborhood spot as it became a bit busy with 1 served who managed drinks, orders, and cash. However, I don't think I'll go out of my way again."
Edward Bennett,3 years ago, 4 stars ,Good tea & coffee nice people.
Eduardo Vivarini,3 years ago, 4 stars ,
Hari Hariharan,3 years ago, 5 stars ,
Mike Riberdy,3 years ago, 5 stars ,"Great tasting coffee, nice little shop."
Ume Maharukh,3 years ago, 4 stars ,Went to the Remarkable Bean for some iced coffee but unfortunately they currently dont have an ice machine :(. Ended up trying their vegan coconut walnut cookie and it was very nice! Hopfully they expand their vegan options. Great prices and lovely workers!
Mina Ragaie,3 years ago, 5 stars ,
Hospitality Consulting,3 years ago, 4 stars ,Always good. Keep up the great work!
Sarah Phillips,3 years ago, 4 stars ,
Ramon Ruiz,3 years ago, 5 stars ,
Cathy Bogaart,3 years ago, 4 stars ,Good coffee (even the decaf - had a flat white). Good music. Comfy seating. Wifi sketchy. Lovely friendly staff.
Adrian Frai,3 years ago, 5 stars ,Great lattes
peter lamie,3 years ago, 2 stars ,
Nedim Barut,3 years ago, 5 stars ,
Bellaré Amoré Fashions & Convertibles,4 years ago, 5 stars ,
Geordie Hancock,4 years ago, 5 stars ,
Bill D.,4 years ago, 5 stars ,I buy a bag of Rocket Fuel about once a week. John remembers my name now. Peanut butter cookies - huge and deeeelicious. Be there early to get them. They don't make many and blink and they're gone.
Julian Sammy,4 years ago, 5 stars ,"The man behind the counter, out of the goodness of his heart, made me a little cup of tea as I was leaving. He'd heard me coughing earlier. That was on top of excellent coffe in a spacious, well maintained store. Oh - and the smell of roasting coffee in there and on the street? Amazing."
Harry Halyk,4 years ago, 5 stars ,
Desmond B,4 years ago, 5 stars ,"Dope ambience, great selection of teas and coffee, and their vegan broccoli cheese muffin is on point"
Steve Marcus,4 years ago, 4 stars ,
Paul Graham,4 years ago, 5 stars ,
Ryan Sim,4 years ago, 4 stars ,"Great coffee joint, good location. Go Friday nights for Mike Payne's amazing comedy show!"
Daniel Quong,4 years ago, 3 stars ,
Danielle Tessaro,4 years ago, 5 stars ,"delicious coffee, friendly service, great location. Love this place!"
Robert Smith,4 years ago, 5 stars ,Delicious coffee
James O'Hara,4 years ago, 5 stars ,
Sydney Westgate,4 years ago, 5 stars ,"My family and I are frequent customers at the Bean both in Leslieville and the Beaches. Not only is the coffee AMAZING (they roast their own btw) but the desserts are delicious. I suggest trying the ButterTart, they are the best in town! They also have a wide range of gluten free products and some vegan which is nice to have :)

As I said before, the coffee is wonderful. The owner's, as well as one very charming barista with a mighty fine beard, roast their own beans in house. The coffee is strong, not acidic and smooth. Rocket Fuel is my go-to! The espresso is creamy with caramel undertones. Just by the taste of your drink, you know the roasting is done expertly and the staff are well trained when it come's to steaming milk and pouring espresso shots. The staff are also extremely friendly and quirky - don't let the sometimes sarcastic wit steer you away! The Remarkable Bean is certainly unique and the staff are no different. There is jazz music playing in the background and velvet purple, yellow and red pillows.

Everyone who goes to the Bean is also kind. You can certainly tell that in the Leslieville location, almost everyone is a regular and the owners are familiar with many of their customers. Speaking of the owners, the Bean is a family run company and if you are grabbing a coffee from either location you are bound to see them. They care about their store, their customers and their staff. They are, in my opinion, a very ""hallmark"" type of family and if you know hallmark, that means they are kind, charming and passionate about what they do.

If I was going to recommend a coffee shop in Toronto to someone, my first suggestion is always the Remarkable Bean! It may be located outside of the downtown core, but it's worth the trip! My family doesn't live in the area but still choose to swing by the bean when in need of a coffee-fix. Trust me when I say you can't go wrong :)

ALSO they have comedy on friday nights!! BONUS"
jeremy yaksich,4 years ago, 5 stars ,Comedy night every Friday! Can't miss! And free of charge. Awesome.
Aoiffe Walsh,4 years ago, 4 stars ,"Friendly staff, open late at night which is perfect for getting some work done. It’s a quiet spot that do good drinks. Every Friday evening they host a free comedy show which is worth checking out."
Pa Heg,4 years ago, 5 stars ,
Rajvir Alang,4 years ago, 4 stars ,
Salma Elbrair,4 years ago, 3 stars ,
Dan Brennan,4 years ago, 4 stars ,best mocha I ve ever had
Brigitte McCann,4 years ago, 5 stars ,Cranberry blueberry muffins to die for. Very cozy and jazzy atmosphere with industrial type decor. Back patio for outdoor calm in the sun. Coffee lovers: I had their flat white and it was delish. Would definitely come back here!
Mo Chan,4 years ago, 4 stars ,Great coffee
nicol cotton,4 years ago, 5 stars ,"good coffee and homemade snacks, nice vibe too."
Lara Saliba,4 years ago, 4 stars ,"A great cafe! It's a cute, cozy small design that draws you in and encourages you to settle in and set up shop with a good book or your laptop for a few hours. It's snug, warm, and the wood features and exposed brick wall add a nice style to the place. What stood out the most to me at this shop was the warm atmosphere and the friendliness - not only of the staff, but also of the other patrons! I got excited when I saw it as I thought the name was very adorable, and wanted to take a picture in front of it - I tried to be quick and not block anyone's way but people were also so nice and understanding!"
Nedim Barut,4 years ago, 5 stars ,Nice and relaxing environment
Nectaria Kladitis,4 years ago, 5 stars ,
Dmitry Romanenko,4 years ago, 4 stars ,"Good coffee, cozy place and welcoming staff. Big plus for late hours. I wish it was closer to downtown tho."
Rohit Saxena,4 years ago, 5 stars ,
Laura S. M.,4 years ago, 5 stars ,Loved the vibe here! Not to mention the best Americano I've had in Toronto yet 😮💯☕ …
Ramon Angelo Bayani,4 years ago, 5 stars ,It's a small place but it's very quaint. Good for studying or working.
Hélène Prenant,4 years ago, 5 stars ,
Liann Sherbin,4 years ago, 5 stars ,Really great in-house roasted coffee!  Papua New Guinea us our fave.  Cozy and relaxed atmosphere.
Sinead Hammons,4 years ago, 3 stars ,
Joel West,4 years ago, 5 stars ,Lovely quirky coffee shop in Leslieville
Michelle Jodhan,4 years ago, 4 stars ,
Paul Duffy,4 years ago, 5 stars ,The gluten free brownie is incredible
M B,4 years ago, 5 stars ,Cozy coffee shop with a friendly barista.
Charles D,4 years ago, 5 stars ,
Mohammed Obied,4 years ago, 4 stars ,
Jose Rodriguez,4 years ago, 5 stars ,I really enjoyed the place. I ordered a London Fug tea with a cookie. Service is fast and is a cozy place to warm up. Definitely I'll go again to test their variety of dessert.
Jeff V,4 years ago, 5 stars ,"Jose, good to hear!"
Tiger Powers,4 years ago, 4 stars ,Best decaf coffee I've ever had.   Their regular java is exquisite too
Tim Butson,4 years ago, 5 stars ,Thanks Jeff!
Lilac Caña,4 years ago, 4 stars ,"Good medium roast coffee, cosy interior to hang while listening to Jazz music that's been played & enjoy a ☕..
Beans re local roasted, 🙏 hands up love it!!!
There is two locations both on Queen East, one at the Beaches, this one in Leslieville.
I've been to both of em several times..
And will continue to go whenever iam nearby 👌.
Vegetarian/vegan friendly offering soy&almond milk and some vegan snacks as well."
Adam Wilson,4 years ago, 5 stars ,Thanks Tiger!
Davin McMahon,4 years ago, 5 stars ,Great service. Great coffee. Neat place.
Franz Yagin,5 years ago, 5 stars ,
Uriel Andreazza,5 years ago, 5 stars ,"The barista working said I looked like Joel McHale

10/10 would feel handsome there again"
Bahram,5 years ago, 5 stars ,"Adam, great to hear!"
Chris Winkelaar,5 years ago, 4 stars ,
Dani,5 years ago, 4 stars ,Rocket fuel is the best coffee
Prashant Goel,5 years ago, 5 stars ,"Good to hear, thanks Franz!"
Jasmine L,5 years ago, 5 stars ,
Marie C. Chicoine,5 years ago, 4 stars ,
Adrian Huisman,5 years ago, 3 stars ,"Good atmosphere, okay coffee."
Susan Kiehl,5 years ago, 4 stars ,
Erika Ehler,5 years ago, 5 stars ,
Jason Davis,5 years ago, 4 stars ,"Lovely spot and friendly staff! Great wifi to get some work done too, and brightly lit"
Ben Chapman-Smith,5 years ago, 4 stars ,"Went there for the first time today. Got a medium roast coffee (No light roast). It's pretty good. But the service was cold. No wave no thank you and I wasn't done paying that the next person was being served. (1 or 2 person behind me).

Thing is, there's like 3 coffee shops within 2mn walk from this place that look all equally good. So while I gave it 4 stars, I'm not sure it really deserves it."
John Broadhead,5 years ago, 4 stars ,
Andrea H,5 years ago, 5 stars ,"Very nice coffee shop on Queen East in Toronto.  Good quality coffee and a nice, comfortable area to sit and enjoy, along with one of their tasty pastries, of course!"
Gaby Abed,5 years ago, 4 stars ,Good
Julia Kindler,5 years ago, 2 stars ,
Vincent Mok,5 years ago, 4 stars ,"Pretty good coffee, chill vibe"
Yechan Lee,5 years ago, 3 stars ,Original review: Would be a great coffee shop if the staff was a bit less wiseass.  Coffee is good however and there's usually free samples if you can take the wisecracks that come with. Review one year later: offending person no longer employed it seems. Attended excellent comedy event here.
Niall Quinlan,5 years ago, 5 stars ,"Love this location! Cozy and neatly decorated space, warm and friendly staff, good selection of beverages, and the homemade snacks are delicious."
Walid Saleh,5 years ago, 5 stars ,Super friendly staff
Hayden Lives,5 years ago, 3 stars ,"There are much better coffee shops in the neighborhood.  The service is usually mediocre,  the buttercup that I've tried was really dry and untasty.  The coffee is OK and the kishes and the muffins are nice."
Christophe F.,5 years ago, 4 stars ,"Good coffee, quiet space good for conversations"
Carlton C,5 years ago, 4 stars ,"The place was cozy and awesome, but I felt like there is a little shortage of matcha latte. I tried matcha latte, and it was the worst latte I have had before. I don't know how taste the coffe is, but I don't wanna recommand the match latte."
The Talos Team in Toronto by Andreas and Nectaria (Nectaria & Andreas),5 years ago, 5 stars ,"Love the vibe in here, a real east side great. The savory muffins are a must"
Richard Jansen,5 years ago, 4 stars ,
Nectaria Kladitis,5 years ago, 5 stars ,Service was friendly & competent. Wares were worth the outlay of cash. Comfortable environment.
Rob Bryans,5 years ago, 5 stars ,
Anca B,5 years ago, 5 stars ,Friendly staff. Great environment. Good muffins. Only knocked off a star because no latte art.
Sandi Hudson,5 years ago, 5 stars ,
jodi sherwood,5 years ago, 5 stars ,
Craig B,5 years ago, 5 stars ,
Brian Kennedy,5 years ago, 4 stars ,Excellent coffee and delicious quiches with a nice selection
Nick Errey,5 years ago, 5 stars ,
HARRIS LAM,5 years ago, 5 stars ,Best coffee roasted on site baked goods made fresh and delicious every day
Vivian K.,6 years ago, 3 stars ,
Aura Events,6 years ago, 5 stars ,Great atmosphere and INCREDIBLE coffee. Working in this area for a few months and have made this a part of my routine. Get one of the muffins.
Mike Heron,6 years ago, 5 stars ,Friendly folks making good coffee.  Plenty of room.  What else does one need?
Matthew Visser,6 years ago, 4 stars ,
Sarah Bruckschwaiger,6 years ago, 4 stars ,Best coffee place everrr
Ross Carrothers,6 years ago, 5 stars ,
Kitzen Hayden,6 years ago, 5 stars ,Best coffee in the beaches hands down.  Their medium americano can't be beat!!
Wesley Robb,6 years ago, 4 stars ,
Mark Bolusmjak,6 years ago, 4 stars ,Delicious drinks with lots of room to sit and enjoy the atmosphere.
Priscilla Mak,6 years ago, 4 stars ,"Best coffee in Leslieville- I always buy some for housewarming gifts wherever I go and people are really impressed! Great staff, awesome treats. Wouldn't recommend it for sitting and reading or working/studying however- the music is consistently awful, never changed (I've heard the same group of old CDs repeat 3 times in one afternoon type of thing) and volume is set very loud. I bring my noise cancelling headphones and try and make-do because I love the place so much lol"
Kathy Nga Ting Ho,6 years ago, 5 stars ,The big tables are great for getting work done
Andrea (LabyrinthOnVHS),6 years ago, 5 stars ,Good lord the baked goods are amazing. The Remarkable Baked Goods didn't have the same ring or didn't fit on the sign. All hail the bean's quiche! See also: chocolate chip muffin et al.
Pedram D.,6 years ago, 5 stars ,"Great coffee, good selection of treats and lunch items (sandwiches, quiche, etc.) Good reasonably quiet place to get some work done."
Ölig Plopp,6 years ago, 4 stars ,
Andreas Batakis,6 years ago, 5 stars ,"Friendly service, delicious fare"
Mike Lee,6 years ago, 4 stars ,"Fantastic service! Te Aro is just always busy so I ventured eastward and fell in love. It's a simple coffee shop with really good pastries. There's good coffee. And there's sandwiches!

The barista actually took the time to explain each bean to me, from harvesting to drying to roasting to flavour profile. EACH bean!! He made sure I picked the right one."
Gillian Raymond,6 years ago, 4 stars ,A quiet and cozy spot with fantastic coffee.
Spencer Clerk,6 years ago, 3 stars ,"Nice cozy place in Leslieville. Relatively good coffee and delicious treats and pastries. Secure wifi, clean bathrooms!"
Matt Li,6 years ago, 5 stars ,"Good coffee, yummy cakes (had a carrot cake. Hmmm!) Nice atmosphere and cool staff. Although s bit hipster audience - but one has to take that for some decent places theses days ;)"
Sara Bobinac,6 years ago, 5 stars ,"This is my personal favorite cafe in Toronto. Nice coffee, nice staff - especially Remarkable John! It is laid back and friendly."
Markus Weisshaar,6 years ago, 5 stars ,"Decent espresso, lots of savory treats, open late. Service was a bit awkward."
Chris Brown,6 years ago, 5 stars ,"Glad to see a RB open up closer to me (not a huge fan of the one in the Beaches).
2 experiences here:
One during this past winter; the staff was excellent, friendly and made a great coffee! we had lattes and sausage rolls to refuel after a long (and cold) run. We were able to find a seat even though it was busy.
One during this past summer; Iced tea was really good (they brew it as you order) but the staff seemed to be new and a bit unsure of them self. The drinks took a long time."
Miguel Agawin,6 years ago, 5 stars ,Food is okay. Quiet place to grab coffee in Leslieville.
Steve Tjiang,6 years ago, 5 stars ,
Shelley Stacey Musaev,7 years ago, 5 stars ,
Peter Fung,7 years ago, 5 stars ,"Great service, great iced coffee. The day we were there was a pretty slow day so the comedian behind the counter was keeping the spirits light and entertaining us. He made a damn good iced coffee as well. We tried some sweets; a brownie and butter tart, and although the butter tart was a bit too dry the brownie was great. We went to the back patio which was empty to our surprise, on such a nice day. Would go here again!"
balanced paws,7 years ago, 5 stars ,Friendly crew
Steve Keys,7 years ago, 5 stars ,Dark roast is nice and mild. Good quiches and very comfortable place to work.
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
