,cafe,street,user,time,stars,reviews,sentiment,language,tokenized,cleaned_text
13,Bud's Coffee,Queen St E,Jenn C,8 months ago,5,My #1 spot for coffee and snacks in the beaches. Gone countless times and was never disappointed! I also love the window service so that I can go when I’m walking my dog.,pos,en,"['spot', 'coffee', 'snack', 'beach', 'go', 'countless', 'time', 'disappointed', 'love', 'window', 'service', 'walking', 'dog']",spot coffee snack beach go countless time disappointed love window service walking dog
14,Bud's Coffee,Queen St E,Andrew Robertson,8 months ago,5,Great coffee and pastries/breakfast. No indoor seating but some outdoor seating.,pos,en,"['great', 'coffee', 'pastry', 'breakfast', 'indoor', 'seat', 'outdoor', 'seating']",great coffee pastry breakfast indoor seat outdoor seating
15,Bud's Coffee,Queen St E,scott ewen,9 months ago,4,"A huge local favourite, great coffee,",pos,en,"['huge', 'local', 'favourite', 'great', 'coffee']",huge local favourite great coffee
16,Bud's Coffee,Queen St E,dave deece,9 months ago,1,The drip coffee was gross. Tasted like luke warm salt water. I ended up throwing it out.,neg,en,"['drip', 'coffee', 'gross', 'tasted', 'like', 'luke', 'warm', 'salt', 'water', 'end', 'throw']",drip coffee gross tasted like luke warm salt water end throw
17,Bud's Coffee,Queen St E,Christy Escanga,10 months ago,3,Expensive coffee ..I got a cortado and I was expecting the nice strong and soft taste characteristic of a good cortado; instead I got a bitter coffee. It might be the kind of coffee they use?? The long line outside of the store is kin if deceiving. Maybe other coffee in the menu taste better.,neu,en,"['expensive', 'coffee', 'get', 'cortado', 'expect', 'nice', 'strong', 'soft', 'taste', 'characteristic', 'good', 'cortado', 'instead', 'get', 'bitter', 'coffee', 'kind', 'coffee', 'use', 'long', 'line', 'outside', 'store', 'kin', 'deceive', 'maybe', 'coffee', 'menu', 'taste', 'well']",expensive coffee get cortado expect nice strong soft taste characteristic good cortado instead get bitter coffee kind coffee use long line outside store kin deceive maybe coffee menu taste well
18,Bud's Coffee,Queen St E,Niloofar A,10 months ago,5,I got Vanilla Latte☕️ and a lemonade 🍋 both so tasty. The coffee had a great smell as well!,pos,en,"['get', 'vanilla', 'latte', 'lemonade', 'tasty', 'coffee', 'great', 'smell']",get vanilla latte lemonade tasty coffee great smell
19,Bud's Coffee,Queen St E,Roger Vassallo,a year ago,5,I am working next door finishing off a new Indian restaurant to open up in the area and I was lucky enough to work right beside buds so I grab my coffee in the morning in the afternoon,pos,en,"['work', 'door', 'finish', 'new', 'indian', 'restaurant', 'open', 'area', 'lucky', 'work', 'right', 'bud', 'grab', 'coffee', 'morning', 'afternoon']",work door finish new indian restaurant open area lucky work right bud grab coffee morning afternoon
20,Bud's Coffee,Queen St E,Nadia Weigert,a year ago,5,"Friendly environment and staff. Poppyseed lemon muffin was perfection; balance of thirty lemon with just enough of a subtle sweetness in the icing, was amazing! Their roast beef sandwich was very tasty as well.",pos,en,"['friendly', 'environment', 'staff', 'poppysee', 'lemon', 'muffin', 'perfection', 'balance', 'thirty', 'lemon', 'subtle', 'sweetness', 'ice', 'amazing', 'roast', 'beef', 'sandwich', 'tasty']",friendly environment staff poppysee lemon muffin perfection balance thirty lemon subtle sweetness ice amazing roast beef sandwich tasty
21,Bud's Coffee,Queen St E,Michael Di Paolo,a year ago,5,Definitely our favourite coffee shop!,pos,en,"['definitely', 'favourite', 'coffee', 'shop']",definitely favourite coffee shop
22,Bud's Coffee,Queen St E,Terry Korte,a year ago,5,Awesome little spot for coffee and great baking.  Keep walking past the Timmy's and Starbucks and spend your money at this great local spot!,pos,en,"['awesome', 'little', 'spot', 'coffee', 'great', 'baking', 'walk', 'past', 'timmy', 'starbuck', 'spend', 'money', 'great', 'local', 'spot']",awesome little spot coffee great baking walk past timmy starbuck spend money great local spot
23,Bud's Coffee,Queen St E,Emilia Rose,a year ago,5,Great lattes!,pos,en,"['great', 'latte']",great latte
24,Bud's Coffee,Queen St E,Jessica Darling,a year ago,5,"Great spot! Coffee is great and the vegan banana walnut muffin is divine. I’m not vegan but get it always. It’s so moist, I hate a dry cakey muffin.",pos,en,"['great', 'spot', 'coffee', 'great', 'vegan', 'banana', 'walnut', 'muffin', 'divine', 'vegan', 'moist', 'hate', 'dry', 'cakey', 'muffin']",great spot coffee great vegan banana walnut muffin divine vegan moist hate dry cakey muffin
25,Bud's Coffee,Queen St E,Stefanie Wright,a year ago,5,Best coffee in the city! And amazing maple oat scones!,pos,en,"['good', 'coffee', 'city', 'amazing', 'maple', 'oat', 'scone']",good coffee city amazing maple oat scone
26,Bud's Coffee,Queen St E,Kayleigh Costa-Arnott,a year ago,5,Perfect for a quick cup of coffee along queen st.,pos,en,"['perfect', 'quick', 'cup', 'coffee', 'queen', 'st']",perfect quick cup coffee queen st
27,Bud's Coffee,Queen St E,hisham yakub,a year ago,5,Great drip coffee and citrus iced tea,pos,en,"['great', 'drip', 'coffee', 'citrus', 'ice', 'tea']",great drip coffee citrus ice tea
28,Bud's Coffee,Queen St E,V V,a year ago,5,LOVE! Such a gem to have right in the middle of The Beach neighbourhood.  The espresso is delicious and they know how to make their drinks. They carry minor figures oat milk which I think is the best in lattes and coffees. And their baked goods are unreal!  Staff is also just so wonderful!,pos,en,"['love', 'gem', 'right', 'middle', 'beach', 'neighbourhood', 'espresso', 'delicious', 'know', 'drink', 'carry', 'minor', 'figure', 'oat', 'milk', 'think', 'good', 'latte', 'coffee', 'bake', 'good', 'unreal', 'staff', 'wonderful']",love gem right middle beach neighbourhood espresso delicious know drink carry minor figure oat milk think good latte coffee bake good unreal staff wonderful
29,Bud's Coffee,Queen St E,Helen Adrien,a year ago,5,Excellent coffee,pos,fr,"['excellent', 'coffee']",excellent coffee
30,Bud's Coffee,Queen St E,Dini - The Flavor Bender,a year ago,5,"We were in the area for a holiday for a few days, and finding a good coffee shop was important! We are so glad we tried Bud's coffee because the coffee was fantastic!
We had a coffee there every morning, and each coffee was consistently good! Their iced coffee was also exactly how I like it, and not overly sweetened like Starbucks!
If you're ever in the area, this is definitely the best place to get coffee!",pos,en,"['area', 'holiday', 'day', 'find', 'good', 'coffee', 'shop', 'important', 'glad', 'tried', 'bud', 'coffee', 'coffee', 'fantastic', 'coffee', 'morning', 'coffee', 'consistently', 'good', 'iced', 'coffee', 'exactly', 'like', 'overly', 'sweetened', 'like', 'starbuck', 'area', 'definitely', 'good', 'place', 'coffee']",area holiday day find good coffee shop important glad tried bud coffee coffee fantastic coffee morning coffee consistently good iced coffee exactly like overly sweetened like starbuck area definitely good place coffee
31,Bud's Coffee,Queen St E,Natalie Taylor,a year ago,5,"This is ""the local"" coffee shop and during COVID, they've made a coffee take-out window pretty charming. Whether you're getting a coffee or a pastry, service is fast and friendly. Perfect excuse to take your drink on a walk to the beach down the street.",pos,en,"['local', 'coffee', 'shop', 'covid', 'coffee', 'window', 'pretty', 'charming', 'get', 'coffee', 'pastry', 'service', 'fast', 'friendly', 'perfect', 'excuse', 'drink', 'walk', 'beach', 'street']",local coffee shop covid coffee window pretty charming get coffee pastry service fast friendly perfect excuse drink walk beach street
32,Bud's Coffee,Queen St E,K K,a year ago,3,"Cute walk up coffee spot in the Beaches. The downside is there’s no patio or seating area so it’s a grab and go spot. I tried the drinks so can’t speak to the food/snacks.

They charge extra for iced drinks which doesn’t seem necessary as it’s the same drink with a few iced cubes.",neu,en,"['cute', 'walk', 'coffee', 'spot', 'beach', 'downside', 'patio', 'seat', 'area', 'grab', 'spot', 'try', 'drink', 'speak', 'food', 'snack', 'charge', 'extra', 'iced', 'drink', 'necessary', 'drink', 'ice', 'cube']",cute walk coffee spot beach downside patio seat area grab spot try drink speak food snack charge extra iced drink necessary drink ice cube
33,Bud's Coffee,Queen St E,Shamrock Anton,a year ago,5,Good coffee and cookies!,pos,en,"['good', 'coffee', 'cookie']",good coffee cookie
34,Bud's Coffee,Queen St E,paul kavanagh,a year ago,5,Great little place! Both the oatmilk cappuccino and the drip coffee were excellent. They have some GF options for food as well.,pos,en,"['great', 'little', 'place', 'oatmilk', 'cappuccino', 'drip', 'coffee', 'excellent', 'gf', 'option', 'food']",great little place oatmilk cappuccino drip coffee excellent gf option food
35,Bud's Coffee,Queen St E,Debtsuckz Canada,a year ago,5,Great service. Lemonade and Iced Tea are very flavorful.,pos,en,"['great', 'service', 'lemonade', 'ice', 'tea', 'flavorful']",great service lemonade ice tea flavorful
36,Bud's Coffee,Queen St E,bonny busch,a year ago,5,Great coffee and pastries very friendly staff will definitely be going back.,pos,en,"['great', 'coffee', 'pastry', 'friendly', 'staff', 'definitely', 'go']",great coffee pastry friendly staff definitely go
37,Bud's Coffee,Queen St E,Nic Smith,a year ago,5,"I've been going to Bud's for just over a year now and they never fail on quality. If you're an oat milk drinker, they use Minor Figures which is the best. Try the GF caramel brownie!",pos,en,"['go', 'bud', 'year', 'fail', 'quality', 'oat', 'milk', 'drinker', 'use', 'minor', 'figure', 'good', 'try', 'gf', 'caramel', 'brownie']",go bud year fail quality oat milk drinker use minor figure good try gf caramel brownie
38,Bud's Coffee,Queen St E,Arlene Mazerolle,a year ago,5,Awesome muffins!,pos,en,"['awesome', 'muffin']",awesome muffin
39,Bud's Coffee,Queen St E,S K,a year ago,5,Great coffee.  Nice people. Good prices.,pos,en,"['great', 'coffee', 'nice', 'people', 'good', 'price']",great coffee nice people good price
40,Bud's Coffee,Queen St E,Phoenix Jones,a year ago,5,Best coffee and service in the City hands down!,pos,en,"['good', 'coffee', 'service', 'city', 'hand']",good coffee service city hand
41,Bud's Coffee,Queen St E,Julian Lannaman,a year ago,5,Great little place. Staff are friendly and whatever you buy is really good. My favorites are hot chocolate and gluten free  brownies.,pos,en,"['great', 'little', 'place', 'staff', 'friendly', 'buy', 'good', 'favorite', 'hot', 'chocolate', 'gluten', 'free', 'brownie']",great little place staff friendly buy good favorite hot chocolate gluten free brownie
42,Bud's Coffee,Queen St E,Paulina Plihern,a year ago,5,"If you’re a fan of chai lattes, this is your place to go! My mum loves the way they’re made and I couldn’t agree more. Their baked goods are also to die for on a early morning on route to work.",pos,en,"['fan', 'chai', 'latte', 'place', 'mum', 'love', 'way', 'agree', 'baked', 'good', 'die', 'early', 'morning', 'route', 'work']",fan chai latte place mum love way agree baked good die early morning route work
43,Bud's Coffee,Queen St E,B T,a year ago,5,Pretty damn good coffee.,pos,en,"['pretty', 'damn', 'good', 'coffee']",pretty damn good coffee
44,Bud's Coffee,Queen St E,Rupinder sharma,a year ago,5,Once you start their coffee you get addicted to it.,pos,en,"['start', 'coffee', 'addict']",start coffee addict
45,Bud's Coffee,Queen St E,Jose Vernaza,a year ago,3,The capuchino was cold and the scone was just ok. Expensive for the quality they deliver,neu,en,"['capuchino', 'cold', 'scone', 'ok', 'expensive', 'quality', 'deliver']",capuchino cold scone ok expensive quality deliver
46,Bud's Coffee,Queen St E,Michael Grover,2 years ago,5,Great local little café.,pos,ro,"['great', 'local', 'little', 'cafe']",great local little cafe
47,Bud's Coffee,Queen St E,KVO Photography,2 years ago,5,So grateful this place exists in the Beaches.  Its definitely top 5 of the best tasting coffee and espresso in Toronto. Their Oat Lattes are divine.  Staff is also super friendly which really helps in making you want to go back!  And their baked goods are delicious.,pos,en,"['grateful', 'place', 'exist', 'beach', 'definitely', 'well', 'taste', 'coffee', 'espresso', 'toronto', 'oat', 'latte', 'divine', 'staff', 'super', 'friendly', 'help', 'make', 'want', 'baked', 'good', 'delicious']",grateful place exist beach definitely well taste coffee espresso toronto oat latte divine staff super friendly help make want baked good delicious
48,Bud's Coffee,Queen St E,Ryan Grinnell,2 years ago,5,Setup well for storefront purchases right now. Delicious coffee and food.,pos,en,"['setup', 'storefront', 'purchase', 'right', 'delicious', 'coffee', 'food']",setup storefront purchase right delicious coffee food
49,Bud's Coffee,Queen St E,Hitesh Thukral,2 years ago,5,"Cute spot, great quality coffee, and lovely people",pos,en,"['cute', 'spot', 'great', 'quality', 'coffee', 'lovely', 'people']",cute spot great quality coffee lovely people
50,Bud's Coffee,Queen St E,Mendy,2 years ago,5,"Great place, great lattes!",pos,en,"['great', 'place', 'great', 'latte']",great place great latte
51,Bud's Coffee,Queen St E,JLives Fast,2 years ago,5,The staff at Bud's are incredibly warm and accommodating! Thank you so much,pos,en,"['staff', 'bud', 'incredibly', 'warm', 'accommodate', 'thank']",staff bud incredibly warm accommodate thank
52,Bud's Coffee,Queen St E,Michal Wachsmann,2 years ago,1,"Ordered a cappuccino, unfriendly service by the young man who gave me my coffee, VERY acidic coffee . Will not go back",neg,en,"['order', 'cappuccino', 'unfriendly', 'service', 'young', 'man', 'give', 'coffee', 'acidic', 'coffee']",order cappuccino unfriendly service young man give coffee acidic coffee
53,Bud's Coffee,Queen St E,Josh Clavir,2 years ago,5,The BEST coffee spot in the neighborhood. Lovely staff and excellent coffee options. I not only buy coffee but also beans from them - great that they have Quietly Coffee and Hatch beans.,pos,en,"['good', 'coffee', 'spot', 'neighborhood', 'lovely', 'staff', 'excellent', 'coffee', 'option', 'buy', 'coffee', 'bean', 'great', 'quietly', 'coffee', 'hatch', 'bean']",good coffee spot neighborhood lovely staff excellent coffee option buy coffee bean great quietly coffee hatch bean
54,Bud's Coffee,Queen St E,Jonas Brandon,2 years ago,5,Ask for the spider milk latte (🕷️🐄☕) secret menu item! …,pos,en,"['ask', 'spider', 'milk', 'latte', 'secret', 'menu', 'item']",ask spider milk latte secret menu item
55,Bud's Coffee,Queen St E,Ernest Ouimette,2 years ago,5,I really enjoy going there in the morning to grab my first cup of coffee of the day,pos,en,"['enjoy', 'go', 'morning', 'grab', 'cup', 'coffee', 'day']",enjoy go morning grab cup coffee day
56,Bud's Coffee,Queen St E,Rowe Farms Beaches,2 years ago,5,Winners. I could go on. Godzillas of coffee culture. Try their cauliflower sandwiches.,pos,en,"['winner', 'godzilla', 'coffee', 'culture', 'try', 'cauliflower', 'sandwich']",winner godzilla coffee culture try cauliflower sandwich
57,Bud's Coffee,Queen St E,Stephen Lussier (ioweyouacoke),2 years ago,5,"Retail espresso beans are great!! Friendly service, too!! ☕💕 …",pos,en,"['retail', 'espresso', 'bean', 'great', 'friendly', 'service']",retail espresso bean great friendly service
58,Bud's Coffee,Queen St E,Monique Blackman,2 years ago,5,One of my favourite coffee spots in the beaches,pos,en,"['favourite', 'coffee', 'spot', 'beach']",favourite coffee spot beach
59,Bud's Coffee,Queen St E,Shashu Dawkins,2 years ago,5,Best americanos and lattes! Plus oat milk!!,pos,en,"['good', 'americanos', 'latte', 'plus', 'oat', 'milk']",good americanos latte plus oat milk
60,Bud's Coffee,Queen St E,Mark Stevenson,2 years ago,5,"If you were going to put a coffee shop in the beach...this would be it... quaint, great pour-overs, mellow staff...and yummies",pos,en,"['go', 'coffee', 'shop', 'beach', 'quaint', 'great', 'pour', 'over', 'mellow', 'staff', 'yummie']",go coffee shop beach quaint great pour over mellow staff yummie
61,Bud's Coffee,Queen St E,M Diota,2 years ago,5,Great little spot. For a fantastic cup of coffee! Staff super pleasant and speedy!,pos,en,"['great', 'little', 'spot', 'fantastic', 'cup', 'coffee', 'staff', 'super', 'pleasant', 'speedy']",great little spot fantastic cup coffee staff super pleasant speedy
62,Bud's Coffee,Queen St E,Cindy Hughes,2 years ago,5,The best !!,pos,en,['well'],well
63,Bud's Coffee,Queen St E,Laura McMillan,3 years ago,5,Always a great cup of coffee! Cute little place with friendly staff.,pos,en,"['great', 'cup', 'coffee', 'cute', 'little', 'place', 'friendly', 'staff']",great cup coffee cute little place friendly staff
64,Bud's Coffee,Queen St E,Anthony Celetti,3 years ago,4,"Very, very good coffee at a reasonable price.   Quaint, friendly place.  If you are on Queen East, I recommend stooping for a cup or a tea.",pos,en,"['good', 'coffee', 'reasonable', 'price', 'quaint', 'friendly', 'place', 'queen', 'east', 'recommend', 'stoop', 'cup', 'tea']",good coffee reasonable price quaint friendly place queen east recommend stoop cup tea
65,Bud's Coffee,Queen St E,Logan Malette,3 years ago,5,"Friendly service, great coffee",pos,en,"['friendly', 'service', 'great', 'coffee']",friendly service great coffee
66,Bud's Coffee,Queen St E,laurie dillon-schalk,3 years ago,5,Simply fantastic coffee and scones done right.,pos,en,"['simply', 'fantastic', 'coffee', 'scone', 'right']",simply fantastic coffee scone right
67,Bud's Coffee,Queen St E,Heidi Schwarzkopf,3 years ago,5,Excellent Americano!,pos,it,"['excellent', 'americano']",excellent americano
68,Bud's Coffee,Queen St E,Hass Mohammed,3 years ago,5,"Kid friendly, great staff and a good cup of coffee. There's a play section to the back of the cafe with a chalk board and some toys.",pos,en,"['kid', 'friendly', 'great', 'staff', 'good', 'cup', 'coffee', 'play', 'section', 'cafe', 'chalk', 'board', 'toy']",kid friendly great staff good cup coffee play section cafe chalk board toy
69,Bud's Coffee,Queen St E,Mike Tarrant,3 years ago,5,Well done folks. Took an awkward space and made it comfortable and inviting to everyone. Carefully made drinks - high quality experience.,pos,en,"['folk', 'take', 'awkward', 'space', 'comfortable', 'inviting', 'carefully', 'drink', 'high', 'quality', 'experience']",folk take awkward space comfortable inviting carefully drink high quality experience
70,Bud's Coffee,Queen St E,Bruce Blue,3 years ago,5,Good Americano coffee. Breakfast sandwich and Nanaimo bar was pretty good too.,pos,en,"['good', 'americano', 'coffee', 'breakfast', 'sandwich', 'nanaimo', 'bar', 'pretty', 'good']",good americano coffee breakfast sandwich nanaimo bar pretty good
71,Bud's Coffee,Queen St E,James Brown,3 years ago,5,Local and friendly. Gotta love it and support it.,pos,en,"['local', 'friendly', 'get', 'to', 'love', 'support']",local friendly get to love support
72,Bud's Coffee,Queen St E,Melanie deBoer,3 years ago,4,"The coffee is really delicious, what would be nice is if they could offer a unsweetened nondairy milk option for people who have dietary restrictions",pos,en,"['coffee', 'delicious', 'nice', 'offer', 'unsweetene', 'nondairy', 'milk', 'option', 'people', 'dietary', 'restriction']",coffee delicious nice offer unsweetene nondairy milk option people dietary restriction
73,Bud's Coffee,Queen St E,Brian Byrne,3 years ago,5,Great coffee. Good treats!,pos,en,"['great', 'coffee', 'good', 'treat']",great coffee good treat
74,Bud's Coffee,Queen St E,Richard Glass,3 years ago,4,Great cappuccino. Nice owner. Good to support locally owned.,pos,en,"['great', 'cappuccino', 'nice', 'owner', 'good', 'support', 'locally', 'own']",great cappuccino nice owner good support locally own
75,Bud's Coffee,Queen St E,Tim Kinney (Nanny Eldercare Agency),3 years ago,4,Great coffee,pos,en,"['great', 'coffee']",great coffee
76,Bud's Coffee,Queen St E,Tsering,3 years ago,1,The place looks ok but their coffee and customer service needs some serious work. Specially if they charge that much for the coffee.,neg,en,"['place', 'look', 'ok', 'coffee', 'customer', 'service', 'need', 'work', 'specially', 'charge', 'coffee']",place look ok coffee customer service need work specially charge coffee
77,Bud's Coffee,Queen St E,Jean Anfossi,3 years ago,5,Great cappuccino! Friendly service. Intimate ambience where you can engage in conversation with anyone. I love it!,pos,en,"['great', 'cappuccino', 'friendly', 'service', 'intimate', 'ambience', 'engage', 'conversation', 'love']",great cappuccino friendly service intimate ambience engage conversation love
78,Bud's Coffee,Queen St E,Nadia Drozhzhina,3 years ago,5,Coffee was good. I recommend this place!,pos,en,"['coffee', 'good', 'recommend', 'place']",coffee good recommend place
79,Bud's Coffee,Queen St E,Shannon,3 years ago,5,Lovely little spot to grab a great cup of coffee or espresso beverage. Staff were very friendly and helpful. Would visit again!,pos,en,"['lovely', 'little', 'spot', 'grab', 'great', 'cup', 'coffee', 'espresso', 'beverage', 'staff', 'friendly', 'helpful', 'visit']",lovely little spot grab great cup coffee espresso beverage staff friendly helpful visit
80,Bud's Coffee,Queen St E,Luke de Freitas,3 years ago,5,Great coffee,pos,en,"['great', 'coffee']",great coffee
81,Bud's Coffee,Queen St E,M Roy,3 years ago,4,"Good coffee, friendly staff.",pos,en,"['good', 'coffee', 'friendly', 'staff']",good coffee friendly staff
82,Bud's Coffee,Queen St E,H Nouraei,3 years ago,5,Great cold summer drinks and amazing coffee,pos,en,"['great', 'cold', 'summer', 'drink', 'amazing', 'coffee']",great cold summer drink amazing coffee
83,Bud's Coffee,Queen St E,Cate -,3 years ago,5,"In terms of food, I haven't tried everything, but I can say I LOVE this spot. great atmosphere, cool spot!",pos,en,"['term', 'food', 'try', 'love', 'spot', 'great', 'atmosphere', 'cool', 'spot']",term food try love spot great atmosphere cool spot
84,Bud's Coffee,Queen St E,Alexey Petrov,3 years ago,5,"Clean and nice coffee shop. I wish having better beans, but they do very nice with what they have. Very clean washrooms, I appreciate it. A bit dissapointed not having my v60 few minutes before closing.",pos,en,"['clean', 'nice', 'coffee', 'shop', 'wish', 'well', 'bean', 'nice', 'clean', 'washroom', 'appreciate', 'bit', 'dissapointe', 'minute', 'close']",clean nice coffee shop wish well bean nice clean washroom appreciate bit dissapointe minute close
85,Bud's Coffee,Queen St E,Matthew Hall,3 years ago,5,"Great coffee, great food, great staff!",pos,en,"['great', 'coffee', 'great', 'food', 'great', 'staff']",great coffee great food great staff
86,Bud's Coffee,Queen St E,Virginia Evoy,3 years ago,4,"Very lively, local café. WiFi can be picked up from Nando's next door if unavailable. They're a little overwhelmed in the am if it's too busy. Maybe I experienced some staff training? But overall great spot, that I like to frequent.",pos,en,"['lively', 'local', 'cafe', 'wifi', 'pick', 'nando', 'door', 'unavailable', 'little', 'overwhelmed', 'busy', 'maybe', 'experienced', 'staff', 'training', 'overall', 'great', 'spot', 'like', 'frequent']",lively local cafe wifi pick nando door unavailable little overwhelmed busy maybe experienced staff training overall great spot like frequent
87,Bud's Coffee,Queen St E,Justin Stone,3 years ago,4,"Well made coffee, nice spot, clean bathrooms. Glad we stopped in here for a cappuccino! Cheers",pos,en,"['coffee', 'nice', 'spot', 'clean', 'bathroom', 'glad', 'stop', 'cappuccino', 'cheer']",coffee nice spot clean bathroom glad stop cappuccino cheer
88,Bud's Coffee,Queen St E,saab narayan,3 years ago,5,Institution!,pos,fr,['institution'],institution
89,Bud's Coffee,Queen St E,Gillian Webster,3 years ago,5,"Great New Zealand flavour.Oyr famous flat white made,just the way it should be !!!",pos,en,"['great', 'new', 'zealand', 'flavour', 'oyr', 'famous', 'flat', 'white', 'way']",great new zealand flavour oyr famous flat white way
90,Bud's Coffee,Queen St E,Katie Arvidson,3 years ago,5,Love this place! We enjoyed the scones and great coffee many mornings here. The staff and owner were incredibly kind and we enjoyed sitting by the front garage and people-watching.,pos,en,"['love', 'place', 'enjoy', 'scone', 'great', 'coffee', 'morning', 'staff', 'owner', 'incredibly', 'kind', 'enjoy', 'sit', 'garage', 'people', 'watch']",love place enjoy scone great coffee morning staff owner incredibly kind enjoy sit garage people watch
91,Bud's Coffee,Queen St E,Pieter Basedow,3 years ago,5,"Great staff, good coffee. Only go to independent coffee places",pos,en,"['great', 'staff', 'good', 'coffee', 'independent', 'coffee', 'place']",great staff good coffee independent coffee place
92,Bud's Coffee,Queen St E,Elizabeth Bowes,3 years ago,5,Friendly service. Good java. Nice vibe,pos,en,"['friendly', 'service', 'good', 'java', 'nice', 'vibe']",friendly service good java nice vibe
93,Bud's Coffee,Queen St E,sean moore,3 years ago,4,Great coffee shop in the beaches. Probably my first choice when in the area.,pos,en,"['great', 'coffee', 'shop', 'beach', 'probably', 'choice', 'area']",great coffee shop beach probably choice area
94,Bud's Coffee,Queen St E,Mario Rigby,3 years ago,5,Great little quiet getaway on the far side of Queen East. A welcoming vibe that also includes a children's section at the back of the coffee shop. Pastries run out almost entirely by end of day as this is a popular place for the treats. I'd come here again for a treat and tasty cup of tea.,pos,en,"['great', 'little', 'quiet', 'getaway', 'far', 'queen', 'east', 'welcome', 'vibe', 'include', 'child', 'section', 'coffee', 'shop', 'pastry', 'run', 'entirely', 'end', 'day', 'popular', 'place', 'treat', 'come', 'treat', 'tasty', 'cup', 'tea']",great little quiet getaway far queen east welcome vibe include child section coffee shop pastry run entirely end day popular place treat come treat tasty cup tea
