name,time,stars,reviews
meric davidson,a year ago, 5 stars ,One of the best coffee you will have !
Gravityfinal,a year ago, 4 stars ,Glad you enjoyed Frank!
Tammy Kent,a year ago, 5 stars ,Coffee was okay. The cup literally collaped from the bottom when I pressed to secure the lid.. got coffee all over my hands. Later at home I noticed the cup was dissolving from the inside and I had a few paper bits in my mouth because it had no wax lining.. Its made from the same material inside as outside - how completely bizarre. The staff were super friendly and helpful so 5 starts for that. The staff are aware of the collapsing issue with the cups.
Robert Dumaresq,a year ago, 5 stars ,Hi Monis - thanks for bringing this to our attention. Feel free to e-mail us contactus@mosmoscoffee.com to further resolve the issue if you are interested :)
Karthik,a year ago, 5 stars ,I love the vegan donuts they are amazing!
Phil,a year ago, 5 stars ,Glad you enjoyed Mike!
JD JS,a year ago, 5 stars ,"(Translated by Google) They have aromatic and delicious coffees...

(Original)
Aromalı ve lezzetli kahveleri var..."
Steve Chung,a year ago, 5 stars ,"(Translated by Google) I'm glad you had fun!

(Original)
Eğlendiğine sevindim!"
Alexandra Cezak,a year ago, 5 stars ,
Shxma,a year ago, 4 stars ,
Khalid Saad,a year ago, 3 stars ,I had a Cappuccino as per my wife's suggestion. I left it is a bit over rated.
Jaya,a year ago, 5 stars ,"Hi Hareesh - if you're looking for more espresso flavour, we suggest a Cortado, if you're looking for a more milky flavour - we suggest a latte. Hope you find your new drink with us!"
Xiaodi Chen,a year ago, 5 stars ,"Yummy treats. Hot chocolate good but not stirred well chunky at bottom. When I asked for a napkin, she gave me 1 dirty one! Atleast provide clean napkins to paying customers."
Hunda o Harman,a year ago, 1 star ,"Hi Tammy - sorry about your experience, feel free to email us so we can make up for this contactus@mosmoscoffee.com"
Filip Maj,a year ago, 4 stars ,
Mat A. (Nosnoma),a year ago, 3 stars ,Favourite go-to coffee franchise. MosMos has a great coffee selection. I usually get the Masala Chai Latte. It is really good! Amazing staff and amazing coffee! Will be back!
Andrea Gnanatheepan,a year ago, 5 stars ,Glad you enjoyed Willy! Looking forward to you trying our other Chai Lattes!
daniel leaño,a year ago, 5 stars ,Great coffee and vegan donuts yum
Daphne Chan,a year ago, 3 stars ,Glad you enjoyed Jeremy! Hope to see you soon!
Mavis Li,a year ago, 5 stars ,"Edited: I went back and bought this beautiful Tiramisu vegan donut topped with a luscious  ""marscapone cream cheese"" and dusted with cocoa and a whisper of espresso powder...devine! I attached a picture of the beauty, below....try it, you won't be sorry!

I would have given them 5 stars but, the female behind the counter was not in a good mood...you're in the customer service business try to act like you like your job or at least be nice. When asked where the vegan donuts are don't just point, use your vocal chords. Anyways, the coffee was great; flavourful,  smoky and full of nutty and caramel notes and perfectly bitter. The ""Bloomers"" vegan donuts are amazing! Fluffy but dense and delicious.  I had the maple donut and it was fantabulous! I'd be back for the product but not the service."
Reina Davé,a year ago, 5 stars ,"Glad you enjoyed the product Kay! We're well known for our friendly and quick service, you'll have a better experience next time!"
Jason Lane,a year ago, 5 stars ,
Urmil Setia,a year ago, 1 star ,"The Vegan Donuts were decent. The dough is amazing and fresh but the frosting is a bit too sweet and wasn’t great.
The drinks were perfect, not too sweet and just right. Tiramisu Roll and the cookies were also great, fresh, soft and just right."
Tina Peng,a year ago, 1 star ,
Conner Harris,a year ago, 5 stars ,Love that this place is offering Bloomers donuts!!
Kathleene Sim,a year ago, 3 stars ,Coffee and Bloomer's Donuts are here to stay! Glad you enjoyed it!
Eszter Markó,a year ago, 4 stars ,Awesome coffee and cookies.
Anna Bond,a year ago, 5 stars ,Glad you enjoyed Karthik!
Adi Kuperman,a year ago, 3 stars ,Love this place and the staff!!! Can't say enough good things!!
Mal Grewal,a year ago, 5 stars ,Thanks for kind comment! Looking forward to seeing you again!
Laurence Perle Barchichat,a year ago, 5 stars ,
Paulo Valadares,a year ago, 5 stars ,"If you're reading this, you're probably wondering if MosMos is any good and the answer is YES!

They have a wide drink selection and the staff there are very courteous. I go so often that the staff know my coffee preference by heart! And Helen, one of the baristas, makes an effort to memorize every customer's name thus making each interaction very personal which I LOVE!

OHH THEY ALSO SELL BLOOMER DONUTS!!! YA'LL GOTTA GET THERE EARLY BECAUSE THEY SELL OUT SOMETIMES!"
Monia Naguib,a year ago, 5 stars ,Thanks for the kind review Steve! We're glad you enjoy Mos Mos and hope to see you again soon!
Mike Salter,a year ago, 4 stars ,The ceremonial matcha is amazing 🤩 …
DJ LeGrow,a year ago, 5 stars ,Glad you enjoy it Alexandra! Give the Maple Matcha a try next time!
Divya Mohan,a year ago, 4 stars ,The tiramisu latte was AMAZING 😍. The tiramisu donut was ok but too sweet for me. …
Divya Mohan,a year ago, 4 stars ,Next time try the Iced Tiramisu or a Lao Latte! Glad you enjoyed the drink!
Dana Ayyash,a year ago, 5 stars ,"Good outside seating, didn’t like the bakery or the flat white though..the staff are good"
joe hill,a year ago, 5 stars ,"Hi Khalid, we're well known for our baked goods and drinks - if you want to give us another try, let us know! Looking forward to seeing you again."
C,2 years ago, 5 stars ,"Ordered the tiramisu latte (small) today and I could barely out it down. The sugar is just right and the drink tastes like liquid dessert. I would 10/10 recommend. It's perfect for cold days, warm days and even gloomy ones!"
Alicja Bobrowska,2 years ago, 5 stars ,Thanks Jaya! Glad you enjoyed it and hope to see you back for some more!
Kaitlin M,2 years ago, 4 stars ,
Trish Hudyma,2 years ago, 4 stars ,Unprofessional staff
Jason Kwan,2 years ago, 3 stars ,"Hi Hunda, sorry to hear about your experience. We're well known for our friendly and quick service, hope you give us another try!"
Evgeni music,2 years ago, 5 stars ,
Stella Andreou,2 years ago, 5 stars ,"Sugar + Sugar + Sugar
I asked for just an iced matcha.
Not top level matcha mixed with sweetener and milk. (I think the sweetener was in the milk). The pastry I got was overly sweet as well."
Laurance Wiese,2 years ago, 5 stars ,"Sorry to hear about your experience Matthew, we do not have any sweeteners that we add to our hot or cold Matcha, it comes naturally sweet! We also have a Cermonial Matcha (with 0G of sugar). Hope this helps for next time!"
Richard F.,2 years ago, 5 stars ,Great service and quality drinks!
Alisa Dermawan,2 years ago, 5 stars ,Thanks for the kind words Andrea! Hope to see you again
Sukhil Suresh,2 years ago, 5 stars ,
Jesse Jesso,2 years ago, 1 star ,
Kajal Patel,2 years ago, 5 stars ,
Clive Foran,2 years ago, 5 stars ,"We ordered a medium iced matcha latte with oat milk and a small hot matcha half-sweet with oat milk (pictured) from the Bay Street location on an early Sunday morning. Mos Mos is my favourite coffee shop and my first time at this location didn’t disappoint. The staff were friendly and upbeat, and the service was quick. Highly recommend grabbing a drink and going to Nathan Phillips Square to enjoy the views and fresh air (only if there are no protests going on!!)."
Claire Hoon,2 years ago, 5 stars ,Glad you enjoyed it Reina! Hope to see you at more and more locations soon!
Jessica Z,2 years ago, 5 stars ,"Toronto is a city of some pretty terrible coffee. Seems like every cute little hole in the wall serves the same burned-tasting swill, so it’s nice to have a non-massive-chain option like Mos Mos that serves great coffee consistently and with staff that are super friendly, quick and organized."
sana inamdar,2 years ago, 5 stars ,Thanks for the kind review Jason! We hope to see you soon!
Shawn Khan,2 years ago, 5 stars ,"Average tasting expensive doughnuts with a side of uninterested and unpleasant cashier.

And she didn’t even have to sense to provide a napkin along with the order."
Nel Villanueva,2 years ago, 5 stars ,"Hi Urmil - our donuts are handcrafted, baked fresh straight from Bloomer's, the best vegan donuts in the city! Please email us if you'd like to give this another try contactus@mosmoscoffee.com, thanks!"
Dr. Camy Grewal,2 years ago, 4 stars ,"There’s always something amiss with this particular Mos Mos shop. Either they tell me Espresso bean only have blonde roast (when they actually have medium roast) or this time, packed me a dark roast coffee bean instead of an espresso bean! Because the packaging was updated, I even asked the staff to checked if the coffee bean was for espresso and the staff told me it was. Please train your staff better on product knowledge so your customer does not have to make multiple trips back for return/exchange!"
Andrij Matvijchuk,2 years ago, 5 stars ,"Hi Tina, sorry to hear about your experience. Please email us as we'd like to make it up to you! contactus@mosmoscoffee.com"
Shivani Sharma,2 years ago, 5 stars ,
Arjun Rudra,2 years ago, 5 stars ,"I had some trouble hearing the cashier so they spoke louder of course, but the overall interaction and attitude just felt very dismissive after that. I just think I visited on an off day for them. I love their drink selection and the variety of options for coffee and tea. The cookies are really delicious and fresh! I also loved how fluffy and big the vegan donut was. Although, I may have gotten the wrong flavour; I let them choose for me, and the one I received had a very tart, strong, sweet, fruitiness to it that just wouldn't sit right with me as I personally enjoy more mellow flavours. I also ordered the mango Chai latte with soy milk. That also didn't really work with me for similar reasons... but I will make another visit very soon and make some safer choices and adjust my review accordingly if the experience improves!"
Dayna N,2 years ago, 5 stars ,"Hi Kathleene looking forward to your next visit! Perhaps it was just a miscommunication on our end, we're known for our great customer service. Glad you enjoy the cookies and drinks!"
John McPherson,2 years ago, 5 stars ,"I had a nice experience at Mos Mos. I love the name and the concept behind the brand. Even though the staff experienced an extreme technical issue today, they were welcoming, kind and friendly. I have tried the medium flat white which tasted overly milky. Next time I would go with the smallest size to taste the coffee."
Ozzie Castillo,2 years ago, 4 stars ,"Hi Eszter glad you enjoy Mos Mos! If you're looking for a stronger drink, we'd recommend the Canadiano - it has twice the amount of espresso!"
Jeff Balson,2 years ago, 5 stars ,"Friendly, helpful staff. Oh, and the coffee is great too."
S Y,2 years ago, 5 stars ,Glad you enjoyed Anna! Hope to see you back again soon!
Sonia Abraham,2 years ago, 5 stars ,OK coffee. The cookies were too sweet.
Alexander Chen,2 years ago, 5 stars ,"Hi Adi - our cookie are actually more on the less sweet side! If you'd like to give us another try, please email us contactus@mosmoscoffee.com and we will change your mind on this! Look forward to seeing you again."
Mesbah Rafin,3 years ago, 5 stars ,
Daniela Trecapelli-Salituro,3 years ago, 5 stars ,"Wow blown away by the deliciousness of the Canadiano coffee.
By far the best coffee in the area"
Cherryl Ann Koylass,3 years ago, 5 stars ,Glad you enjoyed Laurence! Hope to see you again soon!
Gale S.,3 years ago, 5 stars ,"This place has become one of my favorite coffee shop. And I don't even like coffee that much.
Friendly staff. Well knowledge. And nice matcha options, though, not all locations have the same menu. My favorite location is in the PATH under the CIBC building."
Sharon Lam,3 years ago, 5 stars ,"Hi Paulo, glad you enjoy Mos Mos and thanks for the kind words! Hope to see you again soon! All stores have almost identical drinks but yes we do have different cookies/loaves/goodies at different locations."
Deborah Mckinney,3 years ago, 5 stars ,
Ben Mather,3 years ago, 5 stars ,Excellent coffee and pastries
Mohamad Hammoud,3 years ago, 4 stars ,Glad you enjoyed Mike! Looking forward to seeing you again!
Alleya Sairah,3 years ago, 5 stars ,Best coffee I've ever had in my life. Full stop.
Mandy Kuo,3 years ago, 1 star ,Thank you for the kind words. Glad you enjoy our coffee!
Harmony Granger,3 years ago, 3 stars ,
jules c,3 years ago, 4 stars ,
Sabdanaa Jeyakumaran,3 years ago, 3 stars ,"Best mocha latte I’ve had in a while! The cocoa they use is so rich, it makes the mocha taste great."
Trevor Pedley,3 years ago, 5 stars ,Glad you enjoyed the Mocha Latte Dana! Hope to see you soon. Give the Tiramisu Latte a try next time!
Vik Theeson,3 years ago, 5 stars ,
David Sit,3 years ago, 5 stars ,"Great coffee, reasonable price, doesn't taste bitter"
Victoria Wolf,3 years ago, 5 stars ,"Great products, friendly staff. Wish there was a tip option when paying by card."
AlanaSophia,3 years ago, 4 stars ,
Anita Stavri,3 years ago, 5 stars ,omg they've got the biggest baddest donuts they are delicious i share mine cause it's humongous go there you won't be disappointed
Mikaeel Ghany,3 years ago, 5 stars ,
Benita Lee Cassidy,3 years ago, 4 stars ,"(Translated by Google) Beautiful coffee shop.

(Original)
Красивая кофейня."
Saloua Abdelhadi,3 years ago, 5 stars ,Bought cookies for my staff and self for Christmas. They were great in accommodating for a food allergy. Everyone loved the cookies. Nicely packed in a great carry container. I tried the nutella milk chocolate drizzle cookie and it was amazing. Would recommend to others.
Michael B,3 years ago, 5 stars ,"Merry Christmas Stella! We're glad your team enjoyed the cookies, looking forward to seeing you again!"
Chloë A. L. Jennings,3 years ago, 5 stars ,Best coffee in Toronto!!
Donna Saleh,3 years ago, 5 stars ,"Thanks for the kind words Laurance, glad you like the coffee!"
WN W,3 years ago, 5 stars ,"Great coffee place offering delectable desserts & cookies too! My wife loves the matcha latte here & cant pass by without grabbing one to go.

Mos Mos is so much better than Starbucks! The service is outstanding as well. We were served by a tall, younger gentleman & he was very friendly, personable & informative. He recommended the salted Caramel Milk cookie & it was awesome! Great recommendation.

The place is very clean, functional & presentation is great too. I’ll be back soon for the Mars bar cookie next! Excellent job Mos Mos! 💯"
Marc Roger Labrecque,3 years ago, 4 stars ,Hi Richard thank you for the kind words! We're glad you enjoyed and looking forward to see you again for that Mars bar cookie!
Jenna Kelly,3 years ago, 4 stars ,
Syng Shin,3 years ago, 4 stars ,
M K,3 years ago, 3 stars ,The donuts look very good! I bought 2 and the top didn’t have much flavor and the amount of unflavored dough was not satisfying. I’m glad I didn’t buy a dozen which is what I usually eat. Try it out if you want but I’m going to Tim Hortons which has better donuts than here and that’s not saying much.
Jelena Grabeljsek,3 years ago, 4 stars ,Hi Jesse! Sorry about to hear about your experience. These donuts are Toronto's best vegan donuts baked daily from Bloomers! We'd love for you to give them another try - everyone loves them. If you'd like to give them another try just e-mail us contactus@mosmoscoffee.com
Leslie L,3 years ago, 5 stars ,"Thank you to Victor, Cecile, Aehee, Aranza, Jaemin, Jenna, and Helen for always making our drinks with a smile on their faces. I go to this location on a weekly basis from work with a huge order and they are always so patient with me. Their selection of drinks and treats are incredible and everything I’ve tried, I’ve loved. It is truly the highlight of my week!"
Taras K,3 years ago, 3 stars ,Thanks of the kind words Kajal! The team is always happy to see you!
Katelyn Lei,3 years ago, 4 stars ,Always great service.
Bruce Ryan,3 years ago, 5 stars ,Glad you enjoyed Clive! Hope to see you soon!
Amy Truong,3 years ago, 3 stars ,"Easily some of the best chai lattes I've ever had! Lots of cafes with mediocre chai lattes go overboard with the cinnamon or the milk, but the ones here taste very balanced.

I had the cardamom and mango ones and they were both very delicious, with the rich taste of chai permeating the whole drink. I like how there's a complex aftertaste - you can taste the milk, the chai and your flavour of choice.

Note that the sugar level and toppings are adjustable, which is great for a little bit of customization. I personally found half sugar the right amount of sugar.

Also: my pickup order was packed with care and the staff was very friendly. 90% of cafes here don't give me a tray or paper bag unless I ask, but I got both without any prompting. Great service!"
Claudia C,3 years ago, 5 stars ,Thanks for the detailed review Claire! We have more Chai Lattes waiting for you to try on your next trip in!
Patrick Lynch,3 years ago, 4 stars ,Taro latte is the best!
냥두부,3 years ago, 5 stars ,Glad you enjoyed Jessica! We also have a Taro Cookie!
Mary Carrino,3 years ago, 5 stars ,awesome staff and cannot ignore their awesome beverages and bake goods..😘 …
Ian Waudby-Smith,3 years ago, 5 stars ,Glad you enjoyed Sana! Hope to see you soon!
DOUG MCKIBBIN,3 years ago, 5 stars ,"My go to spot when I need to satisfy that sugar craving. The signature lattes are so good it should be criminal. Don't get me started on their baked goods, especially the fitness cookie."
Kaps T Dot,3 years ago, 4 stars ,Thanks for the kind words Shawn! Hope to see you soon!
Mitchell Outhwaite,3 years ago, 5 stars ,
Jost Bergerich,3 years ago, 4 stars ,Glad you enjoyed Nel!
Tina Zhang,3 years ago, 4 stars ,
Felix Chiu,3 years ago, 5 stars ,"Really great little coffee shop, good coffee and baked goods. Very polite and thoughful service."
A O,3 years ago, 4 stars ,Thanks for the kind words Andrij! We hope to see you again soon!
